pieces,37
slept,37
devils,37
betray,37
friendly,36
sought,36
sway,36
personae,36
dramatis,36
express,36
withdraw,36
cur,36
honor,36
handkerchief,36
stay'd,36
smooth,36
silent,36
fruit,36
language,36
passing,36
husband's,36
edgar,36
necessity,36
mistress',36
seem'd,36
pedant,36
nobly,36
courtier,36
belly,36
deer,36
bravely,36
acquaintance,36
taking,36
nights,36
instrument,36
leg,36
pour,36
familiar,36
goths,36
monument,36
worn,36
groans,36
bawd,36
slaves,36
nathaniel,36
cares,36
committed,36
scotland,36
lip,36
montano,36
senses,36
retire,36
unworthy,36
nobility,36
sins,36
mouths,36
defence,36
senior,36
tyranny,35
hat,35
e'en,35
morn,35
huge,35
saucy,35
pleasures,35
jealousy,35
speak'st,35
rob,35
passage,35
scape,35
polonius,35
blown,35
coz,35
felt,35
robert,35
kindly,35
wor,35
partly,35
written,35
lennox,35
dew,35
glove,35
willingly,35
pocket,35
guest,35
delay,35
envious,35
cranmer,35
car,35
looking,35
gloucester's,35
confound,35
corin,35
serves,35
park,35
snow,35
reward,35
whip,35
jupiter,35
discover,35
angels,35
attendant,35
plays,35
tall,35
athenian,35
italy,35
players,35
perform'd,35
tremble,34
hercules,34
length,34
prayer,34
falsehood,34
enforce,34
troyan,34
services,34
direct,34
boast,34
urge,34
fox,34
moved,34
drew,34
temper,34
verona,34
reading,34
messengers,34
miserable,34
drive,34
alexas,34
gardiner,34
titinius,34
cat,34
directly,34
groan,34
visage,34
league,34
attempt,34
height,34
kin,34
dick,34
rhyme,34
lamb,34
frederick,34
dish,34
marvel,34
observe,34
chase,34
crying,34
lucilius,34
chang'd,34
sink,34
lines,34
circumstance,34
reveng'd,34
travel,33
pomp,33
guarded,33
deserves,33
heaven's,33
resolv'd,33
beasts,33
whisper,33
lusty,33
zeal,33
pow'r,33
humours,33
carried,33
diomed,33
greek,33
birds,33
hall,33
et,33
audience,33
island,33
stoop,33
armed,33
pleasant,33
strive,33
bleed,33
spur,33
pursue,33
horn,33
absent,33
wolf,33
savage,33
wondrous,33
freedom,33
weeps,33
exchange,33
physic,33
faithful,33
satisfaction,33
mount,33
possession,33
capulet,33
nephew,33
bride,33
began,33
calm,33
honey,33
bar,33
sour,33
convey,33
younger,33
feeling,32
dozen,32
compass,32
bore,32
sixth,32
start,32
grew,32
gait,32
charm,32
time's,32
it's,32
discretion,32
conference,32
hunt,32
grecian,32
signs,32
breach,32
naples,32
press,32
outlaw,32
standing,32
cor,32
audrey,32
strife,32
provide,32
rugby,32
wisely,32
4,32
graves,32
earthly,32
parley,32
in's,32
suspicion,32
isabel,32
fright,32
continue,32
queen's,32
renowned,32
pinch,32
knocking,32
suits,32
alexander,32
beshrew,32
virgin,32
leads,32
shoulders,32
williams,32
cressid,32
odd,32
honour'd,32
antigonus,32
publius,32
regan,32
orchard,32
dorset,32
bohemia,32
lord's,32
garter,31
stern,31
wholesome,31
minute,31
troubled,31
cordelia,31
smiling,31
seize,31
derby,31
wed,31
lately,31
verse,31
appointed,31
condemn'd,31
knights,31
vernon,31
tricks,31
higher,31
youthful,31
error,31
knit,31
joyful,31
secure,31
hereford,31
theirs,31
